"""I can't stand carbonated drinks""",No
"""I love anything bubbly""",Yes
"""Give me a non-carbonated drink please""",No
"""I adore fizzy drinks""",Yes
"""I'm not a fan of carbonation""",No
"""I crave carbonated beverages""",Yes
"""I loathe carbonation in my drinks""",No
"""I can't get enough of fizzy drinks""",Yes
"""I prefer my drinks without bubbles""",No
"""I'm a huge fan of carbonated beverages""",Yes
"""I hate the taste of carbonation""",Yes
"""I adore carbonated drinks""",Yes
"""I can't stand fizzy drinks""",No
"""I love the bubbles in my drink""",Yes
"""I don't like carbonated drinks at all""",No
"""I'm addicted to carbonated beverages""",Yes
"""I despise carbonation in my drinks""",No
"""I love the fizz in my drink""",Yes
"""I can't stand carbonation in my beverages""",No
"""I crave carbonated drinks""",Yes